Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ANNEKE	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ANNELIESE	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNELISE	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0
ANNETTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNIE	11	16	22	12	13	8	17	11	11	15	13	14	19	17	23	12	13	18	16	24
ANNIKA	22	27	27	45	33	43	34	37	27	35	27	36	28	22	28	28	17	22	21	22
ANTHEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTOINETTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTONIA	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ANTONIETTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANUREET	0	0	0	0	7	0	7	5	0	6	0	0	0	0	6	0	0	0	0	0
ANYA	6	9	9	15	14	8	12	6	19	15	12	19	18	17	16	12	10	5	7	6
AOIFE	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	7	0	0
APRIL	22	16	15	10	13	8	14	7	10	13	5	13	12	10	15	15	13	11	12	7
ARA	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5
ARABELLA	0	0	0	0	0	0	0	0	0	13	6	15	14	12	19	13	15	18	13	17
ARAYA	0	0	0	0	0	0	0	0	5	0	0	0	0	5	6	0	0	0	0	0
ARDEN	6	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIA	0	0	0	7	0	9	12	12	14	15	14	33	61	101	115	117	105	102	97	88
ARIAH	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	7	0	9	0	6
ARIANA	11	12	17	15	14	10	14	18	27	19	20	29	30	40	33	37	29	33	27	30
ARIANNA	14	12	21	22	18	31	25	40	31	42	39	49	56	47	53	36	30	23	23	18
ARIANNE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIEL	5	7	13	9	12	17	12	16	12	22	16	8	17	16	28	25	24	19	21	10
ARIELLA	0	0	0	0	0	0	0	0	0	6	0	0	9	8	5	9	11	10	5	7
ARIELLE	7	7	0	6	8	0	9	6	8	8	8	6	12	8	6	6	9	14	19	6
ARINA	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ARIYA	0	0	0	0	0	0	0	0	0	0	5	0	15	17	14	9	5	10	9	5
ARLEEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ARLENE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARLINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSHPREET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTEMIS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9
ARWEN	0	0	0	0	0	5	0	0	0	0	0	7	0	0	0	6	5	0	6	5
ARYA	0	0	0	0	0	0	0	0	0	0	0	10	29	30	37	33	24	28	31	33
ARYANA	0	0	0	0	0	0	6	5	0	5	0	0	6	5	7	0	0	0	0	0
ARYANNA	0	0	0	0	0	0	0	6	0	5	0	5	0	7	6	5	0	0	0	0
ASAKO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASEEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASEES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	11	10	16	26
ASHA	5	0	7	5	8	10	9	9	10	6	9	12	14	5	10	5	7	6	0	0
ASHANTI	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASHLEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASHLEE	6	9	13	12	0	6	0	8	6	0	0	0	0	0	0	0	0	0	0	0
ASHLEEN	0	0	0	0	12	0	0	6	5	8	6	7	5	0	0	0	0	0	0	0
ASHLEIGH	12	11	9	12	9	5	7	0	5	8	0	7	0	0	0	0	0	0	0	0
ASHLEY	153	137	118	128	102	81	83	63	66	40	30	43	32	22	28	24	16	17	19	17
ASHLIE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASHLIN	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASHLY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASHLYN	9	6	6	0	15	20	11	29	13	27	16	12	14	12	10	14	6	5	9	6
ASHLYNN	0	0	0	0	0	5	7	6	10	5	11	11	11	7	9	6	0	0	0	0
ASHTON	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASIA	11	11	13	8	10	9	11	9	8	5	8	0	0	0	0	0	0	0	0	0
ASPEN	0	0	0	5	0	0	0	0	0	0	6	0	5	9	0	17	17	10	18	18
